metric,mean,std,min,max,ci_low_95,ci_high_95,cv_percent
accuracy,0.896923076923077,0.03821990921969152,0.7948717948717948,0.9743589743589743,0.8205128205128205,0.9487179487179487,4.26122487011998
precision,0.9334913653437569,0.027606450314108858,0.8666666666666667,1.0,0.896551724137931,0.9836206896551721,2.9573332265310053
recall,0.9282758620689654,0.04291809677774254,0.7931034482758621,0.9655172413793104,0.8094827586206896,0.9655172413793104,4.623420529548788
f1,0.9302126472519333,0.027056717180681315,0.8518518518518519,0.9824561403508771,0.8702058319039451,0.9655172413793104,2.90865935446193
roc_auc,0.9545689655172416,0.02122603084874673,0.8982758620689656,0.996551724137931,0.9025431034482758,0.9862068965517241,2.2236246531695296
