accuracy,precision,recall,f1,roc_auc
0.8461538461538461,0.9259259259259259,0.8620689655172413,0.8928571428571429,0.9413793103448276
0.8974358974358975,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9655172413793105
0.8461538461538461,0.896551724137931,0.896551724137931,0.896551724137931,0.8982758620689656
0.8974358974358975,0.9032258064516129,0.9655172413793104,0.9333333333333333,0.9155172413793103
0.8717948717948718,0.9,0.9310344827586207,0.9152542372881356,0.903448275862069
0.9487179487179487,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9517241379310346
0.8974358974358975,0.9629629629629629,0.896551724137931,0.9285714285714286,0.9413793103448276
0.8461538461538461,0.9259259259259259,0.8620689655172413,0.8928571428571429,0.9396551724137931
0.8461538461538461,0.896551724137931,0.896551724137931,0.896551724137931,0.9
0.9230769230769231,0.9642857142857143,0.9310344827586207,0.9473684210526315,0.9586206896551724
0.8717948717948718,0.9285714285714286,0.896551724137931,0.9122807017543859,0.960344827586207
0.8717948717948718,0.9,0.9310344827586207,0.9152542372881356,0.9620689655172414
0.8717948717948718,0.9285714285714286,0.896551724137931,0.9122807017543859,0.9172413793103449
0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9362068965517242
0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9758620689655172
0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9534482758620689
0.8461538461538461,0.896551724137931,0.896551724137931,0.896551724137931,0.9017241379310345
0.9487179487179487,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9879310344827585
0.9487179487179487,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9482758620689656
0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9689655172413794
0.8717948717948718,0.9,0.9310344827586207,0.9152542372881356,0.9724137931034482
0.8974358974358975,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.95
0.9487179487179487,1.0,0.9310344827586207,0.9642857142857143,0.9793103448275863
